# Configuration Mrad dMrad Jx dJx dJy dJy dJz dJy Vx dVx Vy dVy Vz dVz
# Table XV of 1211.7099
NQ200TH30PH150 0.0323 0.0001 -0.0055 0.0002 -0.0118 0.0002 0.2707 0.0027 -54 2 -177 2 -365 2
NQ200TH60PH0 0.0303 0.0001 -0.0046 0.0021 0.0250 0.0028 0.2516 0.0017 -145 26 83 8 131 4
NQ200TH60PH30 0.0302 0.0001 -0.0130 0.0011 0.0151 0.0045 0.2490 0.0014 -132 20 67 8 -191 6
NQ200TH60PH60 0.0303 0.0001 -0.0187 0.0031 0.0011 0.0106 0.2481 0.0036 -121 18 51 2 -420 6
NQ200TH60PH90 0.0305 0.0001 -0.0210 0.0024 -0.0113 0.0114 0.2486 0.0041 -124 12 61 2 -593 6
NQ200TH60PH120 0.0306 0.0001 -0.0164 0.0026 -0.0216 0.0103 0.2529 0.0005 -134 20 88 2 -640 6
NQ200TH60PH150 0.0305 0.0001 -0.0071 0.0025 -0.0273 0.0079 0.2539 0.0032 -141 32 97 2 -455 2
NQ200TH90PH0 0.0308 0.0001 0.0053 0.0002 0.0281 0.0009 0.3083 0.0071 136 2 -46 2 586 4
NQ200TH90PH30 0.0304 0.0001 -0.0092 0.0003 0.0265 0.0009 0.3063 0.0071 84 2 -88 2 199 2
NQ200TH90PH60 0.0303 0.0001 -0.0212 0.0007 0.0185 0.0006 0.3065 0.0072 108 2 -83 2 -4 2
NQ200TH90PH90 0.0303 0.0001 -0.0275 0.0009 0.0054 0.0002 0.3072 0.0072 139 2 -85 2 -266 4
NQ200TH90PH120 0.0306 0.0002 -0.0265 0.0009 -0.0093 0.0002 0.3084 0.0072 169 2 -86 2 -566 4
NQ200TH90PH150 0.0308 0.0002 -0.0184 0.0006 -0.0217 0.0006 0.3093 0.0072 177 2 -52 2 -690 4
NQ200TH135PH0 0.0279 0.0001 0.0007 0.0002 0.0176 0.0006 0.2855 0.0067 67 2 72 2 -374 2
NQ200TH135PH30 0.0278 0.0001 -0.0082 0.0001 0.0156 0.0006 0.2851 0.0068 69 2 78 2 -195 2
NQ200TH135PH60 0.0278 0.0001 -0.0148 0.0007 0.0094 0.0004 0.2829 0.0058 65 6 89 2 21 2
NQ200TH135PH90 0.0278 0.0001 -0.0174 0.0007 0.0008 0.0003 0.2853 0.0068 52 2 95 2 214 2
NQ200TH135PH120 0.0279 0.0001 -0.0154 0.0007 -0.0081 0.0001 0.2858 0.0068 53 2 88 2 401 4
NQ200TH135PH150 0.0280 0.0001 -0.0093 0.0005 -0.0149 0.0004 0.2859 0.0067 61 2 75 2 457 4
NQ66TH60PH0 0.0449 0.0001 -0.0050 0.0008 0.0982 0.0090 0.3173 0.0024 -167 8 319 12 1886 10
NQ66TH60PH30 0.0448 0.0001 -0.0522 0.0058 0.0709 0.0063 0.3173 0.0015 -269 10 158 12 1736 8
NQ66TH60PH60 0.0443 0.0001 -0.0832 0.0063 0.0343 0.0088 0.3148 0.0028 -231 8 -9 10 1407 4
NQ66TH60PH90 0.0433 0.0000 -0.0949 0.0089 -0.0133 0.0114 0.3103 0.0042 -61 4 -76 8 739 4
NQ66TH60PH120 0.0427 0.0000 -0.0811 0.0088 -0.0621 0.0164 0.3075 0.0051 109 4 68 10 -398 4
NQ66TH60PH150 0.0438 0.0000 -0.0436 0.0041 -0.0938 0.0158 0.3111 0.0057 41 6 301 14 -1481 8
NQ50TH30PH0 0.0476 0.0003 -0.0009 0.0060 0.0556 0.0093 0.3434 0.0126 36 6 94 22 1225 14
NQ50TH30PH30 0.0473 0.0002 -0.0285 0.0007 0.0474 0.0038 0.3420 0.0109 -8 8 61 22 904 12
NQ50TH30PH60 0.0468 0.0003 -0.0483 0.0037 0.0261 0.0009 0.3405 0.0102 -3 8 12 20 425 8
NQ50TH30PH90 0.0465 0.0002 -0.0544 0.0059 -0.0018 0.0063 0.3397 0.0098 45 4 -12 20 -173 2
NQ50TH30PH120 0.0468 0.0002 -0.0465 0.0074 -0.0290 0.0107 0.3408 0.0102 95 4 18 20 -816 6
NQ50TH30PH150 0.0474 0.0002 -0.0265 0.0084 -0.0486 0.0125 0.3429 0.0110 89 6 73 18 -1232 10
NQ50TH60PH0 0.0411 0.0002 0.0105 0.0134 0.0996 0.0015 0.2854 0.0007 141 2 -339 2 -1775 10
NQ50TH60PH30 0.0405 0.0002 -0.0534 0.0024 0.0856 0.0011 0.2814 0.0007 197 6 -133 6 -1401 10
NQ50TH60PH60 0.0399 0.0002 -0.0823 0.0069 0.0539 0.0081 0.2803 0.0003 147 2 12 6 -1046 4
NQ50TH60PH90 0.0390 0.0002 -0.1033 0.0026 0.0014 0.0062 0.2760 0.0022 -35 2 38 4 -378 2
NQ50TH60PH120 0.0389 0.0002 -0.0972 0.0131 -0.0476 0.0075 0.2764 0.0019 -201 8 -180 4 803 8
